NASDAQ,Close
17:55 - 17:56 01/02/2020,8810.18
17:56 - 17:57 01/02/2020,8810.49
17:57 - 17:58 01/02/2020,8810.32
17:58 - 17:59 01/02/2020,8809.84
17:59 - 18:00 01/02/2020,8811.87
18:00 - 18:01 01/02/2020,8811.96
18:01 - 18:02 01/02/2020,8810.76
18:02 - 18:03 01/02/2020,8809.82
18:03 - 18:04 01/02/2020,8811.2
18:04 - 18:05 01/02/2020,8811.81
18:05 - 18:06 01/02/2020,8811.72
18:06 - 18:07 01/02/2020,8811.95
18:07 - 18:08 01/02/2020,8812.17
18:08 - 18:09 01/02/2020,8812.22
18:09 - 18:10 01/02/2020,8813.29
18:10 - 18:11 01/02/2020,8813.19
18:11 - 18:12 01/02/2020,8813.1
18:12 - 18:13 01/02/2020,8814.75
18:13 - 18:14 01/02/2020,8815.14
18:14 - 18:15 01/02/2020,8814.1
18:15 - 18:16 01/02/2020,8813.05
18:16 - 18:17 01/02/2020,8815.86
18:17 - 18:18 01/02/2020,8816.76
18:18 - 18:19 01/02/2020,8817.29
18:19 - 18:20 01/02/2020,8817.24
18:20 - 18:21 01/02/2020,8816.96
18:21 - 18:22 01/02/2020,8817.92
18:22 - 18:23 01/02/2020,8817.79
18:23 - 18:24 01/02/2020,8816.54
18:24 - 18:25 01/02/2020,8817.36
18:25 - 18:26 01/02/2020,8817.85
18:26 - 18:27 01/02/2020,8818.09
18:27 - 18:28 01/02/2020,8818.18
18:28 - 18:29 01/02/2020,8817.55
18:29 - 18:30 01/02/2020,8816.76
18:30 - 18:31 01/02/2020,8818.68
18:31 - 18:32 01/02/2020,8819.76
18:32 - 18:33 01/02/2020,8818.68
18:33 - 18:34 01/02/2020,8818.17
18:34 - 18:35 01/02/2020,8819.05
18:35 - 18:36 01/02/2020,8819.94
18:36 - 18:37 01/02/2020,8819.88
18:37 - 18:38 01/02/2020,8820.29
18:38 - 18:39 01/02/2020,8823.63
18:39 - 18:40 01/02/2020,8825.05
18:40 - 18:41 01/02/2020,8826.01
18:41 - 18:42 01/02/2020,8827.01
18:42 - 18:43 01/02/2020,8825.53
18:43 - 18:44 01/02/2020,8824.81
18:44 - 18:45 01/02/2020,8825.41
18:45 - 18:46 01/02/2020,8824.91
18:46 - 18:47 01/02/2020,8825.64
18:47 - 18:48 01/02/2020,8825.38
18:48 - 18:49 01/02/2020,8825.19
18:49 - 18:50 01/02/2020,8826.23
18:50 - 18:51 01/02/2020,8825.1
18:51 - 18:52 01/02/2020,8826.47
18:52 - 18:53 01/02/2020,8826.52
18:53 - 18:54 01/02/2020,8826.48
18:54 - 18:55 01/02/2020,8826.42
18:55 - 18:56 01/02/2020,8826.79
18:56 - 18:57 01/02/2020,8826.84
18:57 - 18:58 01/02/2020,8827
18:58 - 18:59 01/02/2020,8826.71
18:59 - 19:00 01/02/2020,8826.91
19:00 - 19:01 01/02/2020,8824.84
19:01 - 19:02 01/02/2020,8824.31
19:02 - 19:03 01/02/2020,8822.18
19:03 - 19:04 01/02/2020,8823.25
19:04 - 19:05 01/02/2020,8822.83
19:05 - 19:06 01/02/2020,8822.75
19:06 - 19:07 01/02/2020,8821.75
19:07 - 19:08 01/02/2020,8822.47
19:08 - 19:09 01/02/2020,8822.01
19:09 - 19:10 01/02/2020,8822.18
19:10 - 19:11 01/02/2020,8822.79
19:11 - 19:12 01/02/2020,8821.8
19:12 - 19:13 01/02/2020,8821.47
19:13 - 19:14 01/02/2020,8821.23
19:14 - 19:15 01/02/2020,8820.25
19:15 - 19:16 01/02/2020,8820.15
19:16 - 19:17 01/02/2020,8820.18
19:17 - 19:18 01/02/2020,8819.15
19:18 - 19:19 01/02/2020,8819.45
19:19 - 19:20 01/02/2020,8819.53
19:20 - 19:21 01/02/2020,8820.74
19:21 - 19:22 01/02/2020,8821.86
19:22 - 19:23 01/02/2020,8821.93
