"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2019","35.79","37.10","37.34","35.40","65.32M","-3.35%"
"Jun 04, 2019","38.72","36.22","38.80","35.92","69.04M","8.19%"
"Jun 05, 2019","39.32","39.74","40.26","38.37","67.55M","1.55%"
"Jun 06, 2019","41.19","40.89","42.20","40.36","101.21M","4.76%"
"Jun 07, 2019","40.90","41.00","42.17","40.70","80.02M","-0.70%"
"Jun 10, 2019","42.58","42.05","43.39","41.80","52.93M","4.11%"
"Jun 11, 2019","43.42","43.83","44.18","42.70","58.27M","1.97%"
"Jun 12, 2019","41.85","44.59","44.68","41.80","75.99M","-3.62%"
"Jun 13, 2019","42.78","42.08","42.98","41.50","40.84M","2.22%"
"Jun 14, 2019","42.98","42.25","43.33","42.08","37.17M","0.47%"
"Jun 17, 2019","45.01","43.10","45.40","42.85","61.58M","4.72%"
"Jun 18, 2019","44.95","45.74","46.95","44.51","63.58M","-0.13%"
"Jun 19, 2019","45.29","45.02","45.55","44.21","32.88M","0.76%"
"Jun 20, 2019","43.92","44.60","45.38","43.27","59.32M","-3.02%"
"Jun 21, 2019","44.37","43.24","44.44","43.10","41.01M","1.02%"
"Jun 24, 2019","44.73","44.65","45.17","44.20","28.75M","0.81%"
"Jun 25, 2019","43.95","44.88","45.07","43.90","30.91M","-1.74%"
"Jun 26, 2019","43.85","44.06","45.45","43.62","42.54M","-0.23%"
"Jun 27, 2019","44.57","43.89","44.58","43.47","31.70M","1.64%"
"Jun 28, 2019","44.69","44.20","45.03","44.16","34.26M","0.27%"
"Jul 01, 2019","45.43","46.04","46.62","45.26","41.19M","1.66%"
"Jul 02, 2019","44.91","45.78","45.83","44.44","46.30M","-1.14%"
"Jul 03, 2019","46.98","47.88","48.31","46.90","71.01M","4.61%"
"Jul 05, 2019","46.62","46.91","47.09","46.16","35.33M","-0.77%"
"Jul 08, 2019","46.07","46.25","46.45","45.73","29.40M","-1.18%"
"Jul 09, 2019","46.01","45.79","46.20","45.46","30.95M","-0.13%"
"Jul 10, 2019","47.78","46.83","47.79","46.63","45.73M","3.85%"
"Jul 11, 2019","47.72","47.63","48.30","47.16","37.57M","-0.13%"
"Jul 12, 2019","49.02","47.95","49.08","47.94","46.00M","2.72%"
"Jul 15, 2019","50.70","49.60","50.88","48.97","55.00M","3.43%"
"Jul 16, 2019","50.48","49.86","50.71","49.59","40.74M","-0.43%"
"Jul 17, 2019","50.97","51.13","51.66","50.67","48.82M","0.97%"
"Jul 18, 2019","50.71","51.01","51.15","50.38","23.82M","-0.51%"
"Jul 19, 2019","51.64","51.14","51.99","50.92","35.24M","1.83%"
"Jul 22, 2019","51.14","51.75","52.43","50.84","34.23M","-0.97%"
"Jul 23, 2019","52.03","51.34","52.10","50.90","25.12M","1.74%"
"Jul 24, 2019","52.98","51.83","53.21","51.63","55.36M","1.83%"
"Jul 25, 2019","45.76","46.70","46.90","45.11","112.09M","-13.63%"
"Jul 26, 2019","45.61","45.38","46.05","44.45","50.14M","-0.33%"
"Jul 29, 2019","47.15","45.42","47.19","45.21","46.37M","3.38%"
"Jul 30, 2019","48.45","46.58","48.67","46.44","40.55M","2.76%"
"Jul 31, 2019","48.32","48.60","49.34","47.33","45.89M","-0.27%"
"Aug 01, 2019","46.77","48.53","48.90","46.35","41.30M","-3.21%"
"Aug 02, 2019","46.87","46.27","47.25","45.85","30.68M","0.21%"
"Aug 05, 2019","45.66","45.92","46.27","45.16","35.14M","-2.58%"
"Aug 06, 2019","46.15","46.38","46.50","45.15","27.82M","1.07%"
"Aug 07, 2019","46.68","45.30","46.71","45.16","23.88M","1.15%"
"Aug 08, 2019","47.66","46.89","47.96","46.53","26.37M","2.10%"
"Aug 09, 2019","47.00","47.21","47.79","46.76","19.49M","-1.38%"
"Aug 12, 2019","45.80","46.60","47.15","45.75","23.32M","-2.55%"
"Aug 13, 2019","47.00","45.76","47.20","45.51","24.34M","2.62%"
"Aug 14, 2019","43.92","46.24","46.30","43.34","47.81M","-6.55%"
"Aug 15, 2019","43.13","44.17","44.31","42.31","41.16M","-1.80%"
"Aug 16, 2019","43.99","43.33","44.45","43.20","26.04M","1.99%"
"Aug 19, 2019","45.37","44.84","45.57","44.34","26.56M","3.14%"
"Aug 20, 2019","45.17","45.52","45.82","44.91","20.85M","-0.44%"
"Aug 21, 2019","44.17","44.40","44.64","43.52","39.00M","-2.21%"
"Aug 22, 2019","44.43","44.56","45.08","43.64","32.82M","0.59%"
"Aug 23, 2019","42.28","43.99","44.23","42.20","42.80M","-4.84%"
"Aug 26, 2019","43.00","42.72","43.00","42.31","25.27M","1.70%"
"Aug 27, 2019","42.82","43.15","43.76","42.41","27.10M","-0.42%"
"Aug 28, 2019","43.12","42.74","43.45","42.46","16.19M","0.70%"
"Aug 29, 2019","44.34","43.80","44.68","43.60","25.92M","2.83%"
"Aug 30, 2019","45.12","45.83","46.49","44.84","46.64M","1.76%"
