"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2019","7,333.02","7,441.22","7,457.66","7,292.22","658.41M","-1.61%"
"Jun 04, 2019","7,527.12","7,413.94","7,529.50","7,385.02","619.53M","2.65%"
"Jun 05, 2019","7,575.48","7,585.68","7,589.47","7,498.17","537.32M","0.64%"
"Jun 06, 2019","7,615.55","7,582.24","7,634.12","7,546.22","542.41M","0.53%"
"Jun 07, 2019","7,742.10","7,652.97","7,767.02","7,647.91","516.84M","1.66%"
"Jun 10, 2019","7,823.17","7,798.87","7,895.44","7,795.76","522.20M","1.05%"
"Jun 11, 2019","7,822.57","7,901.04","7,909.99","7,798.63","534.58M","-0.01%"
"Jun 12, 2019","7,792.72","7,803.13","7,819.16","7,773.97","481.74M","-0.38%"
"Jun 13, 2019","7,837.13","7,822.56","7,848.36","7,813.60","460.87M","0.57%"
"Jun 14, 2019","7,796.66","7,807.19","7,819.21","7,778.12","465.37M","-0.52%"
"Jun 17, 2019","7,845.02","7,819.43","7,865.98","7,812.61","502.92M","0.62%"
"Jun 18, 2019","7,953.88","7,920.98","8,005.21","7,911.67","567.69M","1.39%"
"Jun 19, 2019","7,987.32","7,970.26","7,998.59","7,930.38","536.80M","0.42%"
"Jun 20, 2019","8,051.34","8,087.45","8,088.88","7,996.87","528.69M","0.80%"
"Jun 21, 2019","8,031.71","8,028.69","8,073.02","8,011.20","1.20B","-0.24%"
"Jun 24, 2019","8,005.70","8,040.58","8,047.56","8,004.63","528.18M","-0.32%"
"Jun 25, 2019","7,884.72","8,005.27","8,007.31","7,879.15","547.78M","-1.51%"
"Jun 26, 2019","7,909.97","7,933.93","7,974.28","7,903.07","537.92M","0.32%"
"Jun 27, 2019","7,967.76","7,939.36","7,976.58","7,935.47","523.93M","0.73%"
"Jun 28, 2019","8,006.24","7,988.76","8,010.15","7,961.46","1.76B","0.48%"
"Jul 01, 2019","8,091.16","8,145.85","8,150.45","8,059.29","583.42M","1.06%"
"Jul 02, 2019","8,109.09","8,086.65","8,109.37","8,063.10","488.38M","0.22%"
"Jul 03, 2019","8,170.23","8,129.57","8,170.23","8,122.34","408.20M","0.75%"
"Jul 05, 2019","8,161.79","8,123.28","8,171.97","8,093.66","425.69M","-0.10%"
"Jul 08, 2019","8,098.38","8,112.91","8,112.91","8,078.39","511.73M","-0.78%"
"Jul 09, 2019","8,141.73","8,061.41","8,146.98","8,061.32","468.36M","0.54%"
"Jul 10, 2019","8,202.53","8,183.19","8,228.60","8,160.56","508.18M","0.75%"
